id,name,chemical,description,price,stock_quantity,category,status,image_path
45,Abacus 40mg 5ml Susp 50ml,Cefpodoxime,"Product Name: Abacus 40mg/5ml Suspension 50ml Product Description: Abacus 40mg/5ml Suspension is a carefully formulated oral medication designed to provide effective relief for various conditions requiring antihistamine therapy. Each 5ml dose contains 40mg of the active ingredient, ensuring precise and consistent dosing for both adults and children. The suspension comes in a 50ml bottle, offering multiple doses for extended use. Key Features: 1. Active Ingredient: The primary component is a potent antihistamine, known for its ability to alleviate symptoms of allergies, such as sneezing, itching, runny nose, and hives. 2. Child-Friendly Formulation: The suspension form makes it easy to administer to children who may have difficulty swallowing tablets or capsules. 3. Accurate Dosing: The 40mg/5ml concentration allows for precise measurement using the included dosing cup or syringe, ensuring the correct amount is given every time. 4. Pleasant Taste: The suspension is formulated with a mild, palatable flavor to improve compliance, especially among younger patients. 5. Convenient Packaging: The 50ml bottle is compact and easy to store, making it ideal for home use or travel. Indications: Abacus 40mg/5ml Suspension is commonly used to treat: - Allergic rhinitis (hay fever) - Urticaria (hives) - Allergic skin reactions - Symptoms of the common cold (e.g., runny nose, sneezing) Dosage Instructions: - Adults and Children 12 years and older: 10ml (80mg) every 4-6 hours, not exceeding 320mg in 24 hours. - Children 6-11 years: 5ml (40mg) every 4-6 hours, not exceeding 240mg in 24 hours. - Children 2-5 years: 2.5ml (20mg) every 4-6 hours, not exceeding 120mg in 24 hours. - Children under 2 years: Consult a healthcare professional for appropriate dosing. Precautions: - Do not exceed the recommended dosage. - Consult a healthcare provider if symptoms persist or worsen. - Avoid use in patients with known hypersensitivity to the active ingredient. - May cause drowsiness; caution should be exercised when driving or operating machinery. Storage: Store at room temperature (15-30°C). Protect from light and moisture. Keep out of reach of children. Manufacturer: Produced by a trusted pharmaceutical company committed to delivering high-quality, safe, and effective medications. Conclusion: Abacus 40mg/5ml Suspension is a reliable and versatile solution for managing allergy symptoms in both adults and children. Its user-friendly formulation and precise dosing make it a preferred choice for families and healthcare providers alike. Always follow the guidance of a healthcare professional for optimal use.
Form: Suspension
Size: Pack of 1 Suspension",309,100,Sami,in_stock,/static/uploads/medicines/11.png
46,Ablixa 10mg Tablets,Escitalopram,"Product Overview Ablixa 10mg Tablets are a prescription medication used to treat depression and anxiety disorders. Each tablet contains Escitalopram as the active ingredient, which works by restoring the balance of certain natural substances in the brain. Key Benefits - Treats depression and anxiety disorders effectively - Helps improve mood, sleep, appetite, and energy levels - Reduces feelings of fear, anxiety, and panic - Easy-to-take oral tablets for convenience - Produced by Horizon, a trusted pharmaceutical company How It Works Escitalopram in Ablixa 10mg Tablets belongs to a class of medications called selective serotonin reuptake inhibitors (SSRIs). It works by increasing the levels of serotonin, a neurotransmitter in the brain that helps regulate mood, in the brain. This helps improve symptoms of depression and anxiety disorders. Directions for Use 1. Take Ablixa 10mg Tablets exactly as prescribed by your healthcare provider. 2. Swallow the tablet whole with a glass of water, with or without food. 3. Do not crush, chew, or break the tablet. 4. It may take several weeks for the full benefits of this medication to be felt. 5. Do not stop taking the medication abruptly without consulting your doctor. Precautions - Inform your doctor about any other medications you are taking before starting Ablixa 10mg Tablets. - Do not drive or operate heavy machinery until you know how this medication affects you. - Avoid alcohol while taking this medication, as it may worsen side effects. - Contact your doctor immediately if you experience any unusual or severe side effects. Storage Instructions Store Ablixa 10mg Tablets at room temperature, away from heat, light, and moisture. Keep the medication out of reach of children and pets. Do not store in the bathroom. Manufacturer Information Ablixa 10mg Tablets are manufactured by Horizon, a reputable pharmaceutical company known for producing high-quality medications. Horizon is committed to providing safe and effective treatments for various health conditions.
Form: Tablets
Size: Pack of 30 Tablets",990,100,Horizon,in_stock,/static/uploads/medicines/12.png
47,Abnil 120mg Tablets,Orlistat,"Product Overview Abnil 120mg Tablets by AGP are weight loss supplements that contain the active ingredient Orlistat. These tablets are designed to help individuals who are struggling with obesity or overweight issues to manage their weight effectively. Key Benefits - Aids in weight loss by blocking the absorption of fat in the body - Reduces calorie intake from fat - Helps to maintain weight loss - Supports healthy weight management - Easy-to-use oral tablets How It Works Orlistat works by inhibiting the enzymes in the stomach and intestines that are responsible for breaking down fats. This leads to a reduced absorption of dietary fat, resulting in lower calorie intake. The undigested fat is then excreted from the body through bowel movements. Directions for Use 1. Take one Abnil 120mg tablet with each main meal containing fat. 2. Swallow the tablet whole with water. 3. Do not take more than three tablets a day. 4. Follow a balanced, reduced-calorie diet while using this product. 5. Consult a healthcare professional before starting any weight loss program. Precautions - Do not take Abnil 120mg tablets if you are pregnant or breastfeeding. - Inform your doctor if you have any medical conditions or are taking other medications. - Monitor your fat intake to prevent gastrointestinal side effects. - Keep out of reach of children. Storage Instructions Store Abnil 120mg tablets in a cool, dry place away from direct sunlight and moisture. Keep the tablets in their original packaging to protect them from humidity. Manufacturer Information AGP is a reputable pharmaceutical company known for producing high-quality medications and supplements. They are committed to providing safe and effective healthcare solutions to improve the well-being of individuals.
Form: Capsules
Size: Pack of 1 Capsules",2250,100,AGP,in_stock,/static/uploads/medicines/13.png
48,Abocran Sachets,Cranberry,"Product Overview Abocran Sachets by Abbott are a convenient and effective way to support urinary tract health. These sachets contain cranberry extract, a natural ingredient known for its ability to promote a healthy urinary system. Key Benefits - Supports urinary tract health - Contains cranberry extract, a natural ingredient with powerful antioxidant properties - Convenient sachet packaging for easy consumption on the go - Helps reduce the risk of urinary tract infections - Promotes overall bladder health How It Works Cranberry extract in Abocran Sachets works by preventing bacteria from sticking to the walls of the bladder and urinary tract. This helps prevent the formation of urinary tract infections and promotes a healthy urinary system. Directions for Use 1. Mix one sachet of Abocran with a glass of water. 2. Stir well until the powder is completely dissolved. 3. Drink the mixture once daily. 4. For best results, take Abocran Sachets regularly as directed by a healthcare professional. Precautions - Do not exceed the recommended dosage. - Consult a healthcare professional before using if pregnant, nursing, or taking medication. - Keep out of reach of children. - Discontinue use if any adverse reactions occur. Storage Instructions Store Abocran Sachets in a cool, dry place away from direct sunlight. Keep the sachets tightly sealed to maintain freshness and potency. Manufacturer Information Abocran Sachets are manufactured by Abbott, a trusted healthcare company known for producing high-quality nutritional supplements and pharmaceuticals. Abbott is committed to improving the health and well-being of individuals around the world.
Form: Sachet
Size: Pack of 10 Sachet",496,100,Abbott,in_stock,/static/uploads/medicines/14.png
49,Abriva Plus 400mg 100mg Tablets,"Sofosbuvir, Velpatasvir","Form: Tablets
Size: Pack of 28 Tablets",17000,100,CCL,in_stock,/static/uploads/medicines/15.jpg
50,Acabel 4mg Tablets,Lornoxicam,"Form: Tablets
Size: Pack of 10 Tablets",125,100,Continental,in_stock,/static/uploads/medicines/16.jpeg
51,Acabel 8mg Tablets,Lornoxicam,"Form: Tablets
Size: Pack of 10 Tablets",230,100,Continental,in_stock,/static/uploads/medicines/17.jpeg
52,Acabel Inj 8mg,Lornoxicam,"Form: Injection
Size: Pack of 1 Injection",90,100,Continental,in_stock,/static/uploads/medicines/18.png
53,Accutane 20mg Capsules,Isotretinoin,"Form: Capsules
Size: Pack of 10 Capsules",800,100,Whiz1,in_stock,/static/uploads/medicines/19.png
54,Acd Plus Drops 15ml,"Vitamin A, Vitamin D, Vitamin E","Form: Drops
Size: Pack of 1 Drops",590,100,Rg Pharma,in_stock,/static/uploads/medicines/20.png
55,Acdermin Gel 20gm,"Clindamycin Phosphate, Tretinoin","Form: Gel
Size: Pack of 1 Gel",367,100,Atco,in_stock,/static/uploads/medicines/21.jpg
56,Acebro syp 10mg/ml 60ml,,"Product Overview Acebro syp 10mg/ml 60ml is a syrup medication produced by the reputable brand, Sami. This product is commonly used to treat a variety of respiratory conditions, such as asthma and chronic obstructive pulmonary disease (COPD). Key Benefits - Effective in managing and controlling symptoms of respiratory conditions - Helps to improve breathing and reduce inflammation in the airways - Provides relief from coughing, wheezing, and shortness of breath - Suitable for both adults and children - Easy-to-administer liquid form for convenient use How It Works Acebro syp 10mg/ml 60ml contains active ingredients that work by relaxing the muscles in the airways and reducing inflammation, making it easier to breathe. This medication helps to open up the air passages, allowing for improved airflow and relief from respiratory symptoms. Directions for Use - Shake the bottle well before each use - Measure the correct dosage using the provided measuring device - Take the medication orally as directed by your healthcare provider - Do not exceed the recommended dosage unless instructed by a medical professional - Consult a doctor for specific dosing instructions for children Precautions - Inform your doctor of any allergies or medical conditions before taking this medication - Avoid consuming alcohol while using this product - Do not suddenly stop taking the medication without consulting your doctor - Keep out of reach of children and pets - Store at room temperature away from moisture and heat Storage Instructions Store Acebro syp 10mg/ml 60ml in a cool, dry place away from direct sunlight. Keep the bottle tightly closed when not in use to prevent contamination. Do not freeze the medication. Manufacturer Information This product is manufactured by Sami Pharmaceuticals, a trusted pharmaceutical company known for producing high-quality and effective medications. Sami is committed to providing safe and reliable healthcare solutions to consumers worldwide.
Form: Syrup
Size: Pack of 1 Syrup",170,100,Sami,in_stock,/static/uploads/medicines/22.jpeg
57,Acefer 120ml Syp,Iron Polymaltose,"Form: Syrup
Size: Pack of 1 Syrup",232,100,Saffron,in_stock,/static/uploads/medicines/23.png
58,Acefer F Tablets,"Folic Acid, Iron Polymaltose","Form: Tablets
Size: Pack of 30 Tablets",360,100,Saffron,in_stock,/static/uploads/medicines/24.jpg
59,Abnil 120mg Tablets,Orlistat,"Product Overview Abnil 120mg Tablets by AGP are weight loss supplements that contain the active ingredient Orlistat. These tablets are designed to help individuals who are struggling with obesity or overweight issues to manage their weight effectively. Key Benefits - Aids in weight loss by blocking the absorption of fat in the body - Reduces calorie intake from fat - Helps to maintain weight loss - Supports healthy weight management - Easy-to-use oral tablets How It Works Orlistat works by inhibiting the enzymes in the stomach and intestines that are responsible for breaking down fats. This leads to a reduced absorption of dietary fat, resulting in lower calorie intake. The undigested fat is then excreted from the body through bowel movements. Directions for Use 1. Take one Abnil 120mg tablet with each main meal containing fat. 2. Swallow the tablet whole with water. 3. Do not take more than three tablets a day. 4. Follow a balanced, reduced-calorie diet while using this product. 5. Consult a healthcare professional before starting any weight loss program. Precautions - Do not take Abnil 120mg tablets if you are pregnant or breastfeeding. - Inform your doctor if you have any medical conditions or are taking other medications. - Monitor your fat intake to prevent gastrointestinal side effects. - Keep out of reach of children. Storage Instructions Store Abnil 120mg tablets in a cool, dry place away from direct sunlight and moisture. Keep the tablets in their original packaging to protect them from humidity. Manufacturer Information AGP is a reputable pharmaceutical company known for producing high-quality medications and supplements. They are committed to providing safe and effective healthcare solutions to improve the well-being of individuals.
Form: Capsules
Size: Pack of 1 Capsules",2250,100,AGP,in_stock,/static/uploads/medicines/25.png
60,Abocran Sachets,Cranberry,"Product Overview Abocran Sachets by Abbott are a convenient and effective way to support urinary tract health. These sachets contain cranberry extract, a natural ingredient known for its ability to promote a healthy urinary system. Key Benefits - Supports urinary tract health - Contains cranberry extract, a natural ingredient with powerful antioxidant properties - Convenient sachet packaging for easy consumption on the go - Helps reduce the risk of urinary tract infections - Promotes overall bladder health How It Works Cranberry extract in Abocran Sachets works by preventing bacteria from sticking to the walls of the bladder and urinary tract. This helps prevent the formation of urinary tract infections and promotes a healthy urinary system. Directions for Use 1. Mix one sachet of Abocran with a glass of water. 2. Stir well until the powder is completely dissolved. 3. Drink the mixture once daily. 4. For best results, take Abocran Sachets regularly as directed by a healthcare professional. Precautions - Do not exceed the recommended dosage. - Consult a healthcare professional before using if pregnant, nursing, or taking medication. - Keep out of reach of children. - Discontinue use if any adverse reactions occur. Storage Instructions Store Abocran Sachets in a cool, dry place away from direct sunlight. Keep the sachets tightly sealed to maintain freshness and potency. Manufacturer Information Abocran Sachets are manufactured by Abbott, a trusted healthcare company known for producing high-quality nutritional supplements and pharmaceuticals. Abbott is committed to improving the health and well-being of individuals around the world.
Form: Sachet
Size: Pack of 10 Sachet",496,100,Abbott,in_stock,/static/uploads/medicines/26.png
61,Abriva Plus 400mg 100mg Tablets,"Sofosbuvir, Velpatasvir","Form: Tablets
Size: Pack of 28 Tablets",17000,100,CCL,in_stock,/static/uploads/medicines/27.jpg
62,Acabel 4mg Tablets,Lornoxicam,"Form: Tablets
Size: Pack of 10 Tablets",125,100,Continental,in_stock,/static/uploads/medicines/28.jpeg
63,Acabel 8mg Tablets,Lornoxicam,"Form: Tablets
Size: Pack of 10 Tablets",230,100,Continental,in_stock,/static/uploads/medicines/29.jpeg
64,Acabel Inj 8mg,Lornoxicam,"Form: Injection
Size: Pack of 1 Injection",90,100,Continental,in_stock,/static/uploads/medicines/30.png
65,Accutane 20mg Capsules,Isotretinoin,"Form: Capsules
Size: Pack of 10 Capsules",800,100,Whiz1,in_stock,/static/uploads/medicines/31.png
66,Acd Plus Drops 15ml,"Vitamin A, Vitamin D, Vitamin E","Form: Drops
Size: Pack of 1 Drops",590,100,Rg Pharma,in_stock,/static/uploads/medicines/32.png
67,Acdermin Gel 20gm,"Clindamycin Phosphate, Tretinoin","Form: Gel
Size: Pack of 1 Gel",367,100,Atco,in_stock,/static/uploads/medicines/33.jpg
68,Acebro syp 10mg/ml 60ml,,"Product Overview Acebro syp 10mg/ml 60ml is a syrup medication produced by the reputable brand, Sami. This product is commonly used to treat a variety of respiratory conditions, such as asthma and chronic obstructive pulmonary disease (COPD). Key Benefits - Effective in managing and controlling symptoms of respiratory conditions - Helps to improve breathing and reduce inflammation in the airways - Provides relief from coughing, wheezing, and shortness of breath - Suitable for both adults and children - Easy-to-administer liquid form for convenient use How It Works Acebro syp 10mg/ml 60ml contains active ingredients that work by relaxing the muscles in the airways and reducing inflammation, making it easier to breathe. This medication helps to open up the air passages, allowing for improved airflow and relief from respiratory symptoms. Directions for Use - Shake the bottle well before each use - Measure the correct dosage using the provided measuring device - Take the medication orally as directed by your healthcare provider - Do not exceed the recommended dosage unless instructed by a medical professional - Consult a doctor for specific dosing instructions for children Precautions - Inform your doctor of any allergies or medical conditions before taking this medication - Avoid consuming alcohol while using this product - Do not suddenly stop taking the medication without consulting your doctor - Keep out of reach of children and pets - Store at room temperature away from moisture and heat Storage Instructions Store Acebro syp 10mg/ml 60ml in a cool, dry place away from direct sunlight. Keep the bottle tightly closed when not in use to prevent contamination. Do not freeze the medication. Manufacturer Information This product is manufactured by Sami Pharmaceuticals, a trusted pharmaceutical company known for producing high-quality and effective medications. Sami is committed to providing safe and reliable healthcare solutions to consumers worldwide.
Form: Syrup
Size: Pack of 1 Syrup",170,100,Sami,in_stock,/static/uploads/medicines/34.jpeg
69,Acefer 120ml Syp,Iron Polymaltose,"Form: Syrup
Size: Pack of 1 Syrup",232,100,Saffron,in_stock,/static/uploads/medicines/35.png
70,Acefer F Tablets,"Folic Acid, Iron Polymaltose","Form: Tablets
Size: Pack of 30 Tablets",360,100,Saffron,in_stock,/static/uploads/medicines/36.jpg
71,Aceford 100mg Tablets,Aceclofenac,"Form: Tablets
Size: Pack of 10 Tablets",121,100,Genetics,in_stock,/static/uploads/medicines/37.jpg
72,Acefyl Cough Syp 125ml,"Acefylline, Diphenhydramine","Product Overview Acefyl Cough Syp is a powerful cough syrup designed to provide relief from dry and irritating coughs. Formulated with Acefylline and Diphenhydramine, this syrup is a trusted solution for those seeking fast and effective cough relief. Key Benefits - Soothes dry and irritating coughs - Helps to suppress cough reflex - Provides quick and lasting relief - Suitable for both adults and children - Non-drowsy formula How It Works Acefyl Cough Syp works by targeting the cough reflex in the brain, helping to reduce the frequency and intensity of coughing. The active ingredients, Acefylline and Diphenhydramine, work together to provide fast relief from cough symptoms, allowing you to breathe easier and feel more comfortable. Directions for Use - Shake well before use - Adults: Take 10ml of syrup every 4-6 hours - Children (6-12 years): Take 5ml of syrup every 4-6 hours - Do not exceed the recommended dosage - Consult a doctor before giving to children under 6 years old Precautions - Do not use if you are allergic to any of the ingredients - Avoid driving or operating heavy machinery while taking this syrup - Keep out of reach of children - If symptoms persist, consult a healthcare professional - Do not use with other cough and cold medications Storage Instructions Store Acefyl Cough Syp in a cool, dry place away from direct sunlight. Keep the bottle tightly closed when not in use to prevent contamination. Do not freeze the syrup. Manufacturer Information Acefyl Cough Syp is manufactured by Nabiqasim, a trusted pharmaceutical company known for producing high-quality medications. With a commitment to innovation and excellence, Nabiqasim ensures that all products meet strict quality standards to provide effective and reliable solutions for common health issues.
Form: Syrup
Size: Pack of 1 Syrup",175,100,Nabiqasim,in_stock,/static/uploads/medicines/38.jpeg
73,Acefyl Wet Cough 60ml Syp,"Acefylline, Piperazine","Product Overview Acefyl Wet Cough 60ml Syp is a cough syrup formulated to provide relief from wet or productive coughs. It helps to loosen mucus and phlegm in the chest, making it easier to cough up and clear the airways. Key Benefits - Loosens mucus and phlegm - Provides relief from wet coughs - Helps clear the airways - Soothes irritated throat - Suitable for adults and children How It Works Acefyl Wet Cough syrup contains active ingredients Acefylline and Piperazine, which work together to thin and loosen mucus in the chest. This makes it easier to cough up the mucus and clear the airways, providing relief from wet cough symptoms. Directions for Use - Shake the bottle well before use - Use the provided measuring cup to measure the correct dose - Adults and children over 12 years old: Take 10ml three to four times a day - Children aged 6 to 12 years: Take 5ml three to four times a day - Do not exceed the recommended dosage Precautions - Consult a healthcare professional before using in children under 6 years old - Do not use if allergic to any of the ingredients - Avoid alcohol consumption while using this syrup - Discontinue use if symptoms worsen or persist for more than a few days Storage Instructions Store Acefyl Wet Cough syrup in a cool, dry place away from direct sunlight. Keep the bottle tightly closed and out of reach of children. Manufacturer Information Acefyl Wet Cough 60ml Syp is manufactured by Nabiqasim, a trusted pharmaceutical company known for high-quality products. Trust Nabiqasim for effective solutions to common health issues.
Form: Syrup
Size: Pack of 1",93,100,Nabiqasim,in_stock,/static/uploads/medicines/39.jpeg
74,Acefyl Wet Cough Syp 125ml,"Acefylline, Diphenhydramine","Product Overview Acefyl Wet Cough Syp 125ml by Nabiqasim is a powerful cough syrup designed to provide relief from wet or productive cough. With a combination of active ingredients Acefylline and Diphenhydramine, this syrup helps to suppress coughing, reduce throat irritation, and promote better breathing. Key Benefits - Provides relief from wet or productive cough - Suppresses coughing and reduces throat irritation - Promotes better breathing - Soothes respiratory discomfort - Helps to clear mucus and phlegm How It Works Acefyl Wet Cough Syp works by acting on the cough center in the brain to suppress the urge to cough. Acefylline, a bronchodilator, helps to open up the airways and make breathing easier. Diphenhydramine, an antihistamine, helps to reduce throat irritation and discomfort. Directions for Use - Shake the bottle well before use - Take the prescribed dosage as directed by your healthcare provider - Use the measuring cup provided to ensure accurate dosing - Do not exceed the recommended dose - Consult a doctor if symptoms persist or worsen Precautions - Do not use this product if you are allergic to any of the ingredients - Avoid driving or operating heavy machinery after taking this syrup, as it may cause drowsiness - Keep out of reach of children - Consult a healthcare provider before using this product if you are pregnant or nursing Storage Instructions Store Acefyl Wet Cough Syp in a cool, dry place away from direct sunlight. Keep the bottle tightly closed when not in use to prevent contamination. Do not freeze the syrup. Manufacturer Information Acefyl Wet Cough Syp 125ml is manufactured by Nabiqasim, a trusted pharmaceutical company known for its high-quality healthcare products. With a commitment to innovation and excellence, Nabiqasim ensures that all products meet stringent quality standards.
Form: Syrup
Size: Pack of 1",199,100,Nabiqasim,in_stock,/static/uploads/medicines/40.png
75,Acelish 100mg Tablets 30s,Aceclofenac,"Product Overview Acelish 100mg Tablets 30s by PLATINUM PHARMACEUTICAL is a medication that contains Aceclofenac as its active ingredient. It is commonly used to relieve pain and inflammation in conditions such as arthritis, osteoarthritis, and ankylosing spondylitis. Key Benefits - Effective pain relief - Reduces inflammation - Helps improve joint mobility - Long-lasting relief - Easy-to-use tablet form How It Works Aceclofenac works by inhibiting the action of enzymes that are involved in the production of prostaglandins, which are responsible for pain, swelling, and inflammation. By reducing the levels of these chemicals in the body, Acelish helps to alleviate pain and improve the symptoms of various inflammatory conditions. Directions for Use - Take one tablet of Acelish 100mg with a glass of water. - It is recommended to take the tablet after a meal to reduce the risk of stomach upset. - Do not crush or chew the tablet; swallow it whole. - Follow the prescribed dosage and frequency as directed by your healthcare provider. Precautions - Do not exceed the recommended dosage to avoid adverse effects. - Consult your healthcare provider before using Acelish if you have a history of gastrointestinal disorders or are pregnant or breastfeeding. - Avoid alcohol consumption while taking this medication, as it may increase the risk of stomach irritation. Storage Instructions Store Acelish 100mg Tablets in a cool, dry place away from direct sunlight and moisture. Keep the tablets out of reach of children and pets. Do not use the medication past its expiration date. Manufacturer Information Acelish 100mg Tablets 30s are manufactured by PLATINUM PHARMACEUTICAL, a reputable pharmaceutical company known for producing high-quality and effective medications.
Form: Capsules
Size: Pack of 30 Capsules",390,100,Platinum,in_stock,/static/uploads/medicines/41.png
76,Acemed 100mg Tablets,Aceclofenac,"Form: Tablets
Size: Pack of 10 Tablets",129,100,Sandoz,in_stock,/static/uploads/medicines/42.png
77,Acemed 100mg Tablets 20s,Aceclofenac,"Product Overview Acemed 100mg Tablets are a non-steroidal anti-inflammatory drug (NSAID) that is used to relieve pain and inflammation in conditions such as arthritis, ankylosing spondylitis, and osteoarthritis. Key Benefits - Relieves pain and inflammation - Reduces swelling and stiffness in joints - Helps improve mobility and quality of life - Fast-acting formula for quick relief - Long-lasting effects with just one tablet How It Works Aceclofenac, the active ingredient in Acemed Tablets, works by blocking the action of cyclooxygenase (COX) enzymes in the body, which are responsible for producing prostaglandins. By inhibiting these enzymes, Aceclofenac reduces the production of prostaglandins, which in turn decreases pain, inflammation, and swelling in the affected area. Directions for Use - Take one tablet of Acemed 100mg with a glass of water. - It is recommended to take the tablet after meals to reduce the risk of stomach upset. - Do not crush or chew the tablet, swallow it whole. - Follow the dosage and frequency as prescribed by your healthcare provider. Precautions - Avoid taking Acemed Tablets if you are allergic to Aceclofenac or any other NSAIDs. - Inform your doctor about any pre-existing medical conditions or ongoing medications before starting Acemed. - Do not exceed the recommended dosage to avoid potential side effects. - Pregnant or breastfeeding women should consult their healthcare provider before using Acemed. Storage Instructions - Store Acemed Tablets in a cool, dry place away from direct sunlight. - Keep the tablets out of reach of children and pets. - Do not use the tablets if the packaging is damaged or expired. Manufacturer Information Acemed 100mg Tablets are manufactured by OBS AGP PHARMA (M&P), a reputable pharmaceutical company known for producing high-quality and effective medications.
Form: Tablets
Size: Pack of 20 Tablets",300,100,OBS,in_stock,/static/uploads/medicines/43.png
